,region,day,production_price_change,demand_exceedance,capacity_utilization_change
218,USA-OTH,48,-0.00518582240941301,0.015102722709926741,0.0013115204445712791
219,USA-OTH,49,-0.0050070238288578706,0.012904587000956314,0.0024198953700713677
220,USA-OTH,50,-0.0038077506234016623,0.010684461151389879,0.002262459578296294
221,USA-OTH,51,-0.004301311497180382,0.008998050399093405,0.002539995682705687
222,USA-OTH,52,-0.003931095808139107,0.0073574189063798645,0.002740955111723009
223,USA-OTH,53,-0.0036596566801062602,0.005857228487507138,0.002805446860007166
224,USA-OTH,54,-0.0032126691169118704,0.004345651633604453,0.002763311523310552
225,USA-OTH,55,-0.002828534345763911,0.0030278320708392314,0.0022893619943737953
226,USA-OTH,56,-0.002568720453249407,0.0018906754686496274,0.0014307287409875968
227,USA-OTH,57,-0.0025118630041014445,0.0011101190133169236,0.0007179801219141524
228,USA-OTH,58,-0.0026499013171991104,0.0003882849898799723,0.00024078511481850917
229,USA-OTH,59,-0.004780005123121045,0.0001557542893566577,-0.00030614481874169375
230,USA-OTH,60,-0.00793068928564189,4.881887906971194e-05,-0.0003909110412072536
231,USA-OTH,61,-0.008522517514974792,-3.52287332240353e-05,-0.00041014501572689266
232,USA-OTH,62,-0.007920087713613744,-8.801963630622467e-06,-0.0003491477054189396
233,USA-OTH,63,-0.008889176669778842,0.00016868276924886239,-0.00021590823703254713
234,USA-OTH,64,-0.008362040051152597,0.0002956086678804759,3.84066186458476e-05
235,USA-OTH,65,-0.0070698394793707875,0.0003901529427801087,0.0002516443341122887
236,USA-OTH,66,-0.0063802827805309326,0.0004946970635333336,0.00036735177808733255
237,USA-OTH,67,-0.005525638092552576,0.0006879831450687934,0.00046141542451727524
238,USA-OTH,68,-0.005174939153856362,0.0007380962754504061,0.0006018284572599786
239,USA-OTH,69,-0.004624820241555971,0.0008446248743154694,0.000638923115094725
240,USA-OTH,70,-0.004572882761585073,0.0009930732407708032,0.0007473205669135119
241,USA-OTH,71,-0.004498683461492847,0.0010552399231626985,0.0008341247129106666
242,USA-OTH,72,-0.004195109012600673,0.0011527477820585386,0.0009596654801995452
243,USA-OTH,73,-0.004021872171997676,0.0012345420411581376,0.0010671036399843015
244,USA-OTH,74,-0.003540854380313041,0.0012517114201437973,0.0011740165742917252
245,USA-OTH,75,-0.0033743091135075565,0.0012975332484459479,0.0012318027986193414
246,USA-OTH,76,-0.003042274370363973,0.001273702460792947,0.001251149977028021
247,USA-OTH,77,-0.002943461706483963,0.0012972147309875393,0.0012499775878638264
248,USA-OTH,78,-0.002802179645970737,0.0013003940362128485,0.0012886729841785627
249,USA-OTH,79,-0.0025687984457043456,0.0013747219220618945,0.001278581282179836
250,USA-OTH,80,-0.002471988850137774,0.001385007046785347,0.0013508660977141762
251,USA-OTH,81,-0.0022638091263629256,0.001381525488445945,0.0013488523868840918
252,USA-OTH,82,-0.002146746037477887,0.0013625874666676197,0.0013723765225703843
253,USA-OTH,83,-0.0020610140276771105,0.0013681364728233003,0.0013554620995319677
254,USA-OTH,84,-0.0020241435321779466,0.0013559202393453873,0.0013536456651763729
