State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AR,Utilities,1757.8,1710.7,1886.7,1797.0,1835.7,1705.2,1756.7,1881.4,1971.0,2268.8,2265.8,2390.0,2538.1,2808.0,2881.5,2998.5,3173.0,3214.6,3218.3,3254.2,3261.7,3332.2,3535.8
AR,Construction,2648.8,2815.4,2978.1,3227.9,3311.1,3397.8,3473.5,3968.7,4368.6,4506.3,4512.1,4336.8,4195.6,4039.9,4028.2,4292.8,3915.8,3987.1,4225.7,4498.6,4763.9,4876.2,5120.8
AR,Manufacturing,13412.9,13496.2,14690.8,14585.8,13887.5,14704.6,15073.9,16285.3,16861.8,17828.0,16232.7,15361.8,13799.7,14967.3,15630.4,15191.5,16676.0,17639.7,17535.2,17483.8,18120.8,19244.0,19556.1
AR,Wholesale trade,3753.1,3981.2,4153.5,4373.8,4449.0,4637.0,4937.3,5594.4,6152.5,6610.5,7001.5,7427.5,7186.2,7704.1,7757.1,8187.3,8644.7,8831.8,9325.4,9306.0,9599.0,9952.4,10213.1
AR,Retail trade,4338.8,4630.8,4985.2,5010.6,5204.8,5563.1,5902.5,6064.3,6552.1,6772.3,6679.7,6847.9,6757.3,7079.6,7143.9,7477.1,7753.6,7954.7,8220.8,8609.6,8630.5,8823.7,9054.6
AR,Transportation and warehousing,2718.6,3071.0,3255.3,3327.3,3378.5,3565.8,3724.0,3956.9,4316.1,4564.7,4355.1,4438.0,3948.7,4128.7,4411.4,4646.4,4649.3,4786.3,4999.3,4856.7,5020.1,5372.1,5593.2
AR,Information,2182.0,2346.7,2421.0,2336.4,2573.1,2762.4,3117.9,3445.5,3989.4,3726.4,4597.5,3934.3,3973.0,2911.7,2664.3,2506.4,2639.1,2600.9,2557.7,2655.7,2586.3,2082.3,2313.4
AR,Finance and insurance,2558.1,2818.2,2967.8,3330.9,3135.7,3271.8,3494.4,3441.9,3785.4,3942.9,4076.5,3947.3,3910.8,4169.3,4977.8,4631.4,4546.1,5242.8,5558.5,5871.0,5714.0,6281.8,6623.9
AR,Real estate and rental and leasing,5123.0,5359.3,6014.7,6107.1,6661.8,7156.0,7236.9,7074.7,7715.6,8167.8,8970.2,9210.7,9746.5,10244.3,10824.9,11579.9,11678.8,11852.7,12677.9,12672.5,12878.0,13663.8,14489.8
AR,"Professional, scientific, and technical services",1646.9,1784.2,1913.9,1927.9,2148.0,2490.9,2695.3,2942.7,3092.7,3238.3,3419.4,3605.5,3435.3,3562.7,3801.3,3740.0,3894.8,4015.8,4189.7,4347.0,4535.5,4849.5,4933.3
AR,Management of companies and enterprises,1015.7,1222.1,1445.8,1738.6,1869.6,1845.1,1925.1,2151.7,2221.1,2438.1,2491.4,2763.7,2982.3,3272.8,3251.2,4008.8,4392.5,4548.2,4742.2,4945.4,5411.3,5407.8,5694.2
AR,Administrative and support and waste management and remediation services,999.2,1053.7,1156.2,1287.0,1370.4,1427.5,1585.7,1635.4,1841.9,1964.1,2133.9,2291.8,2258.7,2503.5,2657.1,2623.3,2738.3,2922.4,3038.7,3121.4,3353.3,3628.8,3698.4
AR,Educational services,227.8,236.3,262.1,282.0,293.5,330.4,369.2,395.4,408.2,449.1,474.6,526.1,617.6,666.3,700.0,714.6,748.3,766.5,766.1,820.1,807.4,848.0,860.6
AR,Health care and social assistance,3949.3,4147.1,4376.7,4637.1,4957.7,5288.6,5679.3,6085.0,6408.0,6793.9,7055.5,7604.4,8021.3,8200.0,8448.0,8927.4,9105.4,9348.3,9790.8,10377.2,10867.5,11280.9,11656.5
AR,"Arts, entertainment, and recreation",228.1,228.1,242.1,257.0,234.7,243.6,258.1,276.4,290.3,306.5,356.6,381.5,397.4,407.9,436.0,469.6,467.0,501.6,505.7,539.1,570.7,604.4,647.0
AR,Accommodation and food services,1258.4,1384.5,1519.7,1607.0,1664.5,1771.3,1852.0,2012.9,2136.7,2283.7,2312.9,2319.5,2366.6,2532.9,2598.8,2733.7,2778.7,2929.9,3226.7,3406.1,3540.3,3767.3,3969.3
AR,Other services (except government and government enterprises),1592.5,1779.7,1880.6,1965.7,1857.4,2009.6,2000.8,2115.7,2156.3,2272.3,2266.6,2266.9,2265.1,2342.5,2391.0,2488.4,2496.0,2612.9,2703.7,2777.1,2855.5,3009.6,3174.4
AR,Government and government enterprises,7324.3,7652.8,8041.2,8490.2,9116.4,9515.4,10134.4,10857.7,11757.1,12498.8,12940.5,13413.3,13900.0,14394.8,14716.2,14931.2,15343.3,15525.3,15649.1,15807.8,16059.9,16499.4,16792.4
CA,All industry total,1071327.2,1147944.3,1247734.4,1366166.5,1387551.8,1439341.7,1530559.8,1632428.7,1752648.9,1874851.3,1955320.9,1990187.9,1919271.1,1973511.9,2049336.8,2144089.6,2261510.6,2399077.7,2559643.2,2671100.5,2831038.4,2975083.0,3132800.6
